reference,count
10291_dsdA,4
10292_dsdA,13
10293_dsdA,0
10294_dsdA,0
10295_dsdA,0
10296_dsdA,0
10297_dsdA,1
10298_dsdA,1
10299_dsdA,6
1029_anmK,3
102_aceB,0
10300_dsdA,2
10301_dsdA,7
10302_dsdA,9
10303_dsdA,0
10304_dsdA,0
10305_dsdA,0
10306_dsdA,0
10307_dsdA,8
10308_dsdA,12
10309_dsdA,11
1030_anmK,0
10310_dsdA,0
10311_dsdA,0
10312_dsdA,0
10313_dsdA,2
10314_dsdA,0
10315_dsdA,0
10316_dsdA,0
10317_dsdA,0
10318_dsdA,0
10319_dsdA,1
1031_anmK,0
10320_dsdA,3
10321_dsdA,2
10322_dsdA,0
10323_dsdA,0
10324_dsdA,0
10325_dsdA,0
10326_dsdA,1
10327_dsdA,0
10328_dsdA,7
10329_dsdA,1
1032_anmK,0
10330_dsdA,0
10331_dsdA,0
10332_dsdA,1
10333_dsdA,1
10334_dsdA,0
10335_dsdA,0
10336_dsdA,0
10337_dsdA,0
10338_dsdA,0
10339_dsdA,0
1033_anmK,0
10340_dsdA,1
10341_dsdA,1
10342_dsdA,0
10343_dsdA,7
10344_dsdA,0
10345_dsdA,2
10346_dsdA,0
10347_dsdA,0
10348_dsdA,0
10349_dsdA,0
1034_anmK,0
10350_dsdA,0
10351_dsdA,0
10352_dsdA,0
10353_dsdA,0
10354_dsdA,3
10355_dsdA,10
10356_dsdA,0
10357_dsdA,0
10358_dsdA,11
10359_dsdA,9
1035_anmK,0
10360_dsdA,8
10361_dsdA,12
10362_dsdA,1
10363_dsdA,0
10364_dsdA,0
10365_dsdA,0
10366_dsdA,0
10367_dsdA,0
10368_dsdA,5
10369_dsdA,4
1036_anmK,0
10370_dsdA,5
10371_dsdA,6
10372_dsdA,0
10373_dsdA,0
10374_dsdA,0
10375_dsdA,9
10376_dsdA,0
10377_dsdA,0
10378_dsdA,0
10379_dsdA,2
1037_anmK,2
10380_dsdA,0
10381_dsdA,0
10382_dsdA,0
10383_dsdA,0
10384_dsdA,0
10385_dsdA,0
10386_dsdA,1
10387_dsdA,1
10388_dsdA,0
10389_dsdA,1
1038_anmK,0
10390_dsdA,0
10391_dsdA,0
10392_dsdA,0
10393_dsdA,0
10394_dsdA,0
10395_dsdA,0
10396_dsdA,1
10397_dsdA,0
10398_dsdA,2
10399_dsdA,0
1039_anmK,0
103_aceB,0
10400_dsdA,0
