reference,Count
5027_bioH,2
16988_gatB,9
36414_rbsC,9
18274_glpC,7
18270_glpB,1
36933_sad,43
7886_cysJ,9
24502_kdsD,1
37372_solA,8
26744_malX,5
12426_fecA,5
25199_ldtA,2
33184_psuK,3
35219_purT,1
39113_trpE,2
39962_ugd,1
33096_psuG,1
41680_wzxE,1
21176_hisF,2
20492_hisB,1
38215_tdh,8
15155_gabD,2
28675_nanA,21
27182_manA,6
30374_oppA,1
32986_psuG,167
10709_dsdA,3
28611_nanA,3
25506_leuB,10
39614_tyrA,2
586_acrD,6
20075_hisA,1
22386_hyfA,2
8060_cysN,3
9431_dgoK,8
21917_hisQ,5
16641_garR,4
36124_queD,4
11082_eutD,1
14935_frdD,4
15632_galE,1
6644_cpdB,3
6753_cpsB,2
9386_dgoK,8
4654_astE,2
22735_hyfF,3
36369_rbsC,2
32989_psuG,105
19477_gpr,4
16412_galU,2
29757_nuoI,10
16277_galE,1
35349_purT,2
15948_galE,5
38072_tdcG,5
35614_putA,5
20238_hisA,1
24918_ldcA,3
29610_nrfA,1
19049_gnd,133
18839_gltB,11
36474_rpiB,8
22285_hyfA,5
21405_hisH,1
41560_wzxE,3
17536_ghrB,121
14399_fepG,2
37370_solA,8
35257_purT,2
38894_trpD,1
14740_folK,3
5125_bioH,15
16291_galE,5
17377_ghrA,3
2527_arnA,1
26333_maeB,4
18716_glsA,9
23895_kbl,69
24018_kdgK,20
27814_mltC,3
20665_hisC,6
5614_btuD,4
4969_betB,244
13430_fepB,2
41941_ydiB,3
9295_dgoK,1
22707_hyfE,3
8031_cysN,2
7894_cysJ,2
16707_garR,3
20246_hisA,54
41283_wcaJ,6
9092_dcuC,7
18081_glmM,120
19507_gsiC,1
17247_gcvT,89
9275_dgoK,9
9276_dgoK,2
19661_gsiD,3
25457_ldtE,126
6616_cobT,1
28381_mtn,14
41373_wecB,1
22435_hyfB,1
22595_hyfE,29
30888_oppF,6
36778_rutD,8
8999_dcuC,3
41095_wcaJ,7
17558_glcB,71
13240_fepB,4
18764_glsB,1
753_allC,3
2515_arnA,9
9888_dsbC,96
32175_phoE,2
35940_pyrE,7
35987_pyrE,39
2439_argF,76
29726_nudK,12
17649_glcB,4
33083_psuG,4
6319_clsB,1
30870_oppF,2
28900_nanC,4
15640_galE,3
8481_dadX,3
22560_hyfC,1
31445_pbpC,2
40360_ugpQ,2
10172_dsdA,279
41275_wcaJ,16
33337_psuK,2
13519_fepD,6
18001_glgX,19
36292_rbsC,2
6287_citX,2
39494_trxA,155
11998_fadJ,1
11790_fadB,1
9204_dcyD,102
11944_fadI,1
7382_cusC,2
35543_putA,1
31617_pdxJ,2
7546_cusC,13
22929_iaaA,5
35819_pyrE,1
27404_metB,3
9504_dgoK,1
40622_wcaJ,2
29473_norW,1
30474_oppC,8
38866_trpD,1
13091_fepB,3
30276_oppA,4
5958_cirA,71
34694_purN,9
20958_hisD,89
4210_astB,4
37364_solA,223
35048_purT,3
10994_entF,1
30114_ompG,4
19796_gsiD,5
14462_fepG,6
38454_thiH,2
7243_csdA,1
2513_arnA,78
15050_fumC,1
37716_tauC,66
34931_purN,2
41296_wcaJ,2
33295_psuK,7
37945_tauC,104
18149_glnA,1
7720_cysE,24
3497_aroH,1
22792_hyfF,3
18315_glpC,1
35244_purT,1
39584_tyrA,5
10713_dsdA,10
13472_fepB,3
41368_wecB,1
18919_glxK,13
348_acnA,3
24065_kdgK,1
12107_fadJ,3
42061_yejF,1
3709_aroK,2
19811_gudD,15
27684_metQ,3
27289_mepA,3
37359_solA,7
35492_putA,64
32930_pstA,2
19255_gnd,1
17963_glgX,1
39351_trxA,4
42262_yfcG,2
27722_mgsA,6
38452_thiH,1
3318_aroD,4
19613_gsiC,2
17168_gcvP,11
18837_gltB,10
41957_ydiB,3
16556_garK,9
33008_psuG,56
37998_tauC,20
41378_wecB,3
1102_anmK,10
38607_thrA,1
3627_aroK,3
42133_yejF,6
32185_phoE,1
9214_ddpX,1
8691_dcuC,11
38818_treC,1
35910_pyrE,2
40430_wcaJ,1
24559_kdsD,1
24558_kdsD,1
32092_phnH,11
16305_galE,103
30978_oppF,13
41741_ybcF,17
30398_oppA,2
39129_trpE,1
39759_ubiE,104
34182_purH,5
18323_glpC,1
27025_manA,5
34334_purH,95
6302_citX,17
17624_glcB,8
28323_mtgA,85
12294_fadL,14
31226_pabB,3
10963_entF,1
3781_aroK,1
32127_phoE,33
10956_entB,1
36457_rpiB,3
17095_gcl,76
35731_pyrC,1
36627_rutD,3
4125_astB,3
17973_glgX,15
37134_sodC,1
25274_ldtC,82
35922_pyrE,1
12288_fadL,3
33138_psuG,3
1284_ansA,4
27465_metC,205
14580_fhuE,4
22261_hyfA,1
27179_manA,6
28358_mtgA,1
12864_fecC,1
26077_ltaE,1
2366_argE,27
16216_galE,3
17637_glcB,4
42337_yfcG,9
13300_fepB,1
39022_trpD,74
16142_galE,2
20796_hisC,1
29815_nuoI,6
9415_dgoK,18
18653_glpQ,41
22402_hyfA,1
34496_purL,2
21663_hisI,4
10395_dsdA,2
26474_malX,8
25156_ldhA,28
8796_dcuC,2
41826_ycjG,2
33000_psuG,43
17107_gcvH,37
20564_hisB,1
671_aldA,46
2928_arnF,14
31112_oppF,4
29648_nrfC,4
24560_kdsD,11
29305_nnr,224
20714_hisC,2
13109_fepB,1
31603_pdxJ,5
5092_bioH,12
36486_rpiB,10
9400_dgoK,1
32618_preT,21
25876_lldD,6
13533_fepD,6
21489_hisH,11
22809_hyfF,2
34957_purR,1
28120_mqo,54
41091_wcaJ,1
32487_preA,1
30390_oppA,1
30859_oppF,46
33053_psuG,1
699_allB,3
10125_dsdA,2
1263_ansA,5
12475_fecA,3
21367_hisH,1
28503_mtn,1
28801_nanA,7
1538_ansB,2
32988_psuG,120
30186_ompN,4
1167_ansA,3
14753_folK,2
23632_kbl,4
4274_astC,7
14364_fepG,4
1351_ansA,4
36364_rbsC,6
36753_rutD,1
23630_kbl,2
12171_fadJ,3
36350_rbsC,10
36219_rbsC,3
27422_metC,4
12811_fecC,66
8110_dacA,84
7579_cusC,4
40811_wcaJ,1
35043_purT,71
26169_lysA,1
86_aceB,1
17964_glgX,7
10740_eda,1
20254_hisA,52
21452_hisH,1
4973_betB,209
43033_murA,2
37707_tauC,11
33833_purD,5
37492_sucC,1
40113_ugd,4
1166_ansA,1
13440_fepB,1
14443_fepG,6
14336_fepG,8
