reference,Count
25116_ldcC,1
10512_dsdA,3
22243_hycD,1
36710_rutD,3
34697_purN,116
34723_purN,167
34772_purN,105
34496_purL,3
21226_hisG,1
37237_sodC,6
20187_hisA,2
37281_solA,2
12967_fecE,1
29782_nuoI,2
42880_yiaY,6
30834_oppD,1
19818_gudD,18
38806_treC,5
7520_cusC,1
5425_btuB,7
30156_ompL,1
11800_fadB,31
29417_norW,1
25321_ldtD,3
40551_wcaJ,3
39846_ugd,29
23948_kbl,6
16740_garR,3
39147_trpE,3
34722_purN,148
10395_dsdA,3
8134_dacA,2
16259_galE,1
35379_purT,1
251_acnA,3
11062_eptB,4
18975_gnd,24
41777_yccX,3
35019_purT,5
29764_nuoI,2
7921_cysJ,1
16421_galU,2
2480_argF,5
6340_clsB,1
40612_wcaJ,1
14890_frdC,34
14891_frdC,54
2505_arnA,2
3391_aroD,41
657_aldA,5
29059_narJ,17
27803_mhpF,1
34367_purH,8
20981_hisD,1
5636_btuD,1
27961_mqo,6
42948_yjjX,1
16394_galU,1
32620_preT,3
9971_dsbC,17
39415_trxA,1
27527_metC,2
39127_trpE,2
4350_astC,6
2895_arnE,1
7085_cpsB,7
38051_tdcB,84
21377_hisH,5
21311_hisH,2
19845_gudD,24
31603_pdxJ,2
10872_entB,4
27293_mepA,100
15030_fumC,1
348_acnA,1
15010_fumC,1
16508_garK,8
32717_preT,6
2483_argF,65
30063_ompF,233
38238_tehB,54
5989_citD,17
38521_thiH,1
9792_dsbA,6
27621_metC,2
12318_fadL,2
34953_purR,1
23921_kbl,12
23895_kbl,67
31804_pfkB,2
31063_oppF,2
3458_aroG,1
7000_cpsB,1
13912_fepD,1
13911_fepD,2
3918_aroL,1
25735_leuD,1
32181_phoE,1
27426_metC,1
34731_purN,140
10255_dsdA,5
6702_cpsB,1
12863_fecC,1
34958_purR,2
14919_frdC,1
12707_fecC,3
14018_fepD,2
14735_folK,27
11614_fadA,1
33011_psuG,119
24230_kdgK,50
39725_ubiE,1
17821_glgB,1
42572_yfdR,4
35274_purT,5
2454_argF,87
18208_gloA,97
32442_ppx,1
35029_purT,4
24908_ldcA,1
18203_glnA,1
33295_psuK,3
21275_hisH,94
2369_argE,25
11925_fadI,4
32152_phoE,1
27769_mhpF,14
22247_hycD,9
29305_nnr,124
1372_ansA,2
3858_aroK,1
2084_argE,2
14434_fepG,7
17561_glcB,40
17155_gcvP,4
26999_manA,37
32401_ppsA,6
12367_fadL,1
33402_psuK,1
27646_metF,66
9676_dkgB,2
42786_yiaM,19
23711_kbl,1
17536_ghrB,35
4734_avtA,2
30186_ompN,14
32988_psuG,67
40895_wcaJ,3
34877_purN,5
17432_ghrA,2
4973_betB,118
19047_gnd,68
3156_aroB,58
14437_fepG,2
14115_fepG,1
13174_fepB,3
21189_hisF,1
5398_btuB,1
24557_kdsD,5
22254_hycD,3
2719_arnB,7
29325_nnr,5
7752_cysE,4
6796_cpsB,1
23808_kbl,3
2542_arnA,6
4104_astB,3
29440_norW,2
28962_napC,1
23379_kbl,1
20799_hisC,1
27411_metC,108
12557_fecC,1
16844_gatB,4
18355_glpC,2
31577_pck,220
35601_putA,8
30055_ompF,126
1913_argD,3
2859_arnB,64
23424_kbl,1
25232_ldtA,17
34637_purL,3
34703_purN,109
37077_sodB,4
17498_ghrB,12
11955_fadI,13
6266_citX,1
28120_mqo,31
28877_nanA,5
19898_hchA,64
10906_entB,3
24848_kduD,1
34959_purR,1
34946_purR,1
19883_hchA,4
19804_gsiD,4
26680_malX,2
36910_sad,3
29207_nhoA,1
12423_fbaB,8
34885_purN,62
13272_fepB,4
1314_ansA,1
28009_mqo,2
16388_galU,1
8736_dcuC,1
40757_wcaJ,1
27657_metQ,7
6418_coaE,1
33666_purD,27
37944_tauC,77
34803_purN,1
10171_dsdA,63
21921_hisQ,1
1193_ansA,11
4120_astB,26
9889_dsbC,64
38637_thrA,17
5751_chiP,1
25727_leuD,25
32688_preT,1
14084_fepD,1
4612_astE,5
9507_dgoK,4
37579_sufS,1
22595_hyfE,28
18947_glxK,2
