reference,count
0_accA,1
10000_dsbG,0
10001_dsbG,6
10002_dsbG,0
10003_dsbG,0
10004_dsbG,0
10005_dsbG,0
10006_dsbG,0
10007_dsbG,0
10008_dsbG,1
10009_dsbG,1
1000_ampG,2
10010_dsbG,0
10011_dsbG,0
10012_dsbG,0
10013_dsbG,2
10014_dsbG,0
10015_dsbG,1
10016_dsbG,0
10017_dsbG,6
10018_dsbG,0
10019_dsbG,2
1001_ampG,0
10020_dsbG,0
10021_dsbG,0
10022_dsbG,10
10023_dsbG,0
10024_dsbG,0
10025_dsbG,3
10026_dsbG,1
10027_dsbG,0
10028_dsbG,0
10029_dsbG,0
1002_ampG,3
10030_dsbG,1
10031_dsbG,0
10032_dsbG,2
10033_dsbG,0
10034_dsbG,0
10035_dsbG,2
10036_dsbG,0
10037_dsbG,1
10038_dsbG,1
10039_dsbG,0
1003_ampG,0
10040_dsbG,1
10041_dsbG,0
10042_dsbG,0
10043_dsbG,0
10044_dsbG,0
10045_dsbG,0
10046_dsbG,0
10047_dsbG,1
10048_dsbG,4
10049_dsbG,0
1004_ampG,2
10050_dsbG,1
10051_dsbG,0
10052_dsbG,0
10053_dsbG,0
10054_dsbG,0
10055_dsbG,0
10056_dsbG,0
10057_dsbG,1
10058_dsbG,4
10059_dsbG,1
1005_ampG,0
10060_dsbG,0
10061_dsbG,1
10062_dsbG,0
10063_dsbG,0
10064_dsbG,0
10065_dsbG,1
10066_dsbG,1
10067_dsbG,1
10068_dsbG,0
10069_dsbG,0
1006_ampG,0
10070_dsbG,0
10071_dsbG,0
10072_dsbG,1
10073_dsdA,0
10074_dsdA,0
10075_dsdA,0
10076_dsdA,0
10077_dsdA,0
10078_dsdA,5
10079_dsdA,5
1007_ampG,0
10080_dsdA,0
10081_dsdA,0
10082_dsdA,0
10083_dsdA,0
10084_dsdA,0
10085_dsdA,3
10086_dsdA,0
10087_dsdA,0
10088_dsdA,0
10089_dsdA,2
1008_ampG,6
10090_dsdA,0
10091_dsdA,0
10092_dsdA,0
10093_dsdA,0
10094_dsdA,0
10095_dsdA,87
10096_dsdA,76
10097_dsdA,3
10098_dsdA,0
10099_dsdA,0
1009_ampG,0
100_aceB,0
10100_dsdA,0
10101_dsdA,0
10102_dsdA,0
10103_dsdA,0
10104_dsdA,0
10105_dsdA,0
10106_dsdA,0
10107_dsdA,0
10108_dsdA,0
10109_dsdA,0
1010_ampG,0
10110_dsdA,0
10111_dsdA,0
10112_dsdA,0
10113_dsdA,0
10114_dsdA,9
10115_dsdA,3
10116_dsdA,10
10117_dsdA,9
10118_dsdA,2
10119_dsdA,6
1011_ampG,0
10120_dsdA,0
10121_dsdA,0
10122_dsdA,5
10123_dsdA,8
10124_dsdA,0
10125_dsdA,2
10126_dsdA,0
10127_dsdA,0
10128_dsdA,10
10129_dsdA,17
1012_ampG,0
10130_dsdA,13
10131_dsdA,0
10132_dsdA,0
10133_dsdA,0
10134_dsdA,0
10135_dsdA,1
10136_dsdA,0
10137_dsdA,0
